click_id,impression_id,user_id,timestamp,campaign,source,device,geo,placement,language,session_id
1,40286,1,2024-03-20 05:00:00,GG_Search,Google,Desktop,US,Search,EN,11660
2,66169,2,2024-02-09 04:00:00,GG_Search,Google,Mobile,US,Search,EN,41357
3,75864,15,2024-02-11 00:00:00,GG_Search,Google,Mobile,US,Search,ES,31638
4,52446,17,2024-03-02 19:00:00,GG_Search,Google,Mobile,US,Search,EN,6281
5,99686,22,2024-02-16 18:00:00,TT_Scale,TikTok,Mobile,UK,Search,DE,30667
6,45542,27,2024-01-03 04:00:00,GG_Search,Google,Mobile,UK,Search,DE,40456
7,52475,38,2024-03-21 02:00:00,GG_Search,Google,Mobile,DE,Search,DE,27450
8,13772,39,2024-02-25 18:00:00,GG_Search,Google,Mobile,DE,Story,ES,35116
9,46432,41,2024-03-26 10:00:00,FB_Prospecting,Facebook,Desktop,UK,Search,ES,36097
10,12032,46,2024-03-03 11:00:00,TT_Scale,TikTok,Desktop,US,Story,EN,1743
11,61876,47,2024-03-05 14:00:00,TT_Scale,TikTok,Mobile,UK,Search,DE,39811
12,11455,49,2024-01-15 02:00:00,GG_Search,Google,Mobile,DE,Search,DE,24648
13,87315,50,2024-01-04 03:00:00,GG_Search,Google,Desktop,US,Feed,EN,20858
14,15785,51,2024-03-04 23:00:00,GG_Search,Google,Mobile,DE,Story,EN,26416
15,41554,64,2024-03-20 03:00:00,FB_Prospecting,Facebook,Mobile,DE,Search,DE,28248
16,69027,70,2024-02-25 12:00:00,GG_Search,Google,Mobile,US,Search,ES,17913
17,53805,75,2024-01-07 02:00:00,TT_Scale,TikTok,Mobile,DE,Feed,ES,32301
18,83005,77,2024-02-28 04:00:00,GG_Search,Google,Mobile,IN,Feed,ES,34558
19,55865,84,2024-02-10 07:00:00,TT_Scale,TikTok,Mobile,UK,Story,DE,8219
20,78329,92,2024-03-24 14:00:00,TT_Scale,TikTok,Mobile,US,Feed,ES,10877
21,99975,98,2024-03-24 14:00:00,TT_Scale,TikTok,Desktop,UK,Story,EN,17987
22,64889,99,2024-01-18 17:00:00,TT_Scale,TikTok,Desktop,US,Search,ES,25989
23,64537,99,2024-01-22 15:00:00,TT_Scale,TikTok,Mobile,US,Search,ES,44641
24,7184,106,2024-03-16 10:00:00,TT_Scale,TikTok,Desktop,IN,Feed,DE,36582
25,83317,109,2024-02-17 15:00:00,FB_Prospecting,Facebook,Mobile,UK,Search,EN,16918
26,67333,112,2024-02-14 19:00:00,TT_Scale,TikTok,Mobile,US,Feed,ES,12020
27,49057,112,2024-03-08 15:00:00,GG_Search,Google,Mobile,IN,Search,ES,39928
28,64209,118,2024-01-22 04:00:00,FB_Prospecting,Facebook,Desktop,DE,Search,ES,2397
29,85017,119,2024-01-22 09:00:00,GG_Search,Google,Desktop,DE,Search,ES,25855
30,7233,121,2024-03-17 03:00:00,TT_Scale,TikTok,Mobile,IN,Search,ES,2339
31,86598,124,2024-01-14 10:00:00,FB_Prospecting,Facebook,Desktop,US,Story,EN,18756
32,90030,127,2024-03-16 02:00:00,GG_Search,Google,Mobile,DE,Feed,EN,26896
33,31729,131,2024-03-13 11:00:00,GG_Search,Google,Mobile,US,Search,ES,8324
34,18514,136,2024-02-18 03:00:00,FB_Prospecting,Facebook,Mobile,US,Feed,EN,46038
35,52343,137,2024-03-30 20:00:00,TT_Scale,TikTok,Mobile,US,Search,DE,44254
36,27376,138,2024-02-04 15:00:00,GG_Search,Google,Mobile,UK,Search,EN,42415
37,42669,144,2024-03-14 15:00:00,TT_Scale,TikTok,Mobile,UK,Story,DE,25681
38,98315,147,2024-03-15 18:00:00,GG_Search,Google,Mobile,US,Story,EN,3287
39,71052,151,2024-02-25 11:00:00,GG_Search,Google,Mobile,UK,Search,EN,23361
40,12693,152,2024-03-04 22:00:00,GG_Search,Google,Mobile,IN,Story,ES,27054
41,60526,155,2024-03-24 07:00:00,GG_Search,Google,Mobile,IN,Search,ES,26205
42,13296,158,2024-03-10 20:00:00,TT_Scale,TikTok,Mobile,DE,Story,DE,16305
43,3127,160,2024-01-21 15:00:00,FB_Prospecting,Facebook,Mobile,IN,Search,ES,46713
44,84785,167,2024-02-09 17:00:00,GG_Search,Google,Mobile,US,Story,ES,2501
45,19945,167,2024-02-17 15:00:00,GG_Search,Google,Mobile,US,Story,ES,47955
46,86603,170,2024-01-15 23:00:00,GG_Search,Google,Mobile,IN,Story,DE,22629
47,78421,174,2024-03-02 17:00:00,GG_Search,Google,Mobile,UK,Search,EN,5351
48,33185,178,2024-01-24 10:00:00,GG_Search,Google,Desktop,IN,Search,EN,22085
49,53962,188,2024-02-05 20:00:00,FB_Prospecting,Facebook,Desktop,US,Search,ES,37211
50,95912,192,2024-03-01 12:00:00,TT_Scale,TikTok,Mobile,US,Story,EN,20418
51,81072,199,2024-02-07 00:00:00,FB_Prospecting,Facebook,Desktop,IN,Search,EN,19754
